year,season,noc,team,sport,event,medal
1976,Summer,USA,United States,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
2000,Summer,AUS,Australia,Cycling,Cycling Men's Team Sprint,Bronze
1920,Summer,USA,United States,Boxing,Boxing Men's Light-Heavyweight,Gold
1932,Winter,USA,United States-1,Bobsleigh,Bobsleigh Men's Four,Gold
1908,Summer,GBR,Great Britain-1,Shooting,"Shooting Men's Trap, Team",Gold
1908,Summer,GBR,Great Britain,Tennis,"Tennis Women's Singles, Covered Courts",Gold
1932,Summer,USA,United States,Athletics,Athletics Men's 400 metres,Silver
2012,Summer,USA,United States,Athletics,Athletics Men's Decathlon,Gold
2016,Summer,USA,United States,Athletics,Athletics Men's Decathlon,Gold
1908,Summer,GBR,Great Britain,Tennis,Tennis Men's Singles,Bronze
1996,Summer,DEN,Denmark,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
2000,Summer,DEN,Denmark,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
2004,Summer,DEN,Denmark,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
1948,Winter,SUI,Switzerland-1,Bobsleigh,Bobsleigh Men's Two,Silver
1936,Summer,FRA,France,Canoeing,"Canoeing Men's Folding Kayak Singles, 10 kilometres",Silver
1948,Summer,FRA,France,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
1998,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
2002,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
2002,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Men's Super G,Silver
2002,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
1980,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Uneven Bars,Silver
1932,Summer,GER,Germany,Athletics,Athletics Men's Decathlon,Bronze
2012,Summer,JPN,Japan,Judo,Judo Men's Half-Lightweight,Bronze
2016,Summer,JPN,Japan,Judo,Judo Men's Half-Lightweight,Bronze
2000,Summer,GER,Germany,Taekwondo,Taekwondo Men's Welterweight,Silver
1920,Summer,USA,United States,Athletics,Athletics Men's 800 metres,Silver
2008,Summer,ESP,Spain,Sailing,Sailing Mixed Multihull,Gold
2012,Summer,ESP,Spain,Sailing,Sailing Women's Three Person Keelboat,Gold
1976,Summer,FRG,West Germany,Rowing,Rowing Women's Coxless Pairs,Bronze
1984,Summer,GBR,Great Britain,Judo,Judo Men's Extra-Lightweight,Bronze
1976,Summer,GDR,East Germany,Athletics,Athletics Women's 200 metres,Gold
1980,Summer,GDR,East Germany,Athletics,Athletics Women's 200 metres,Gold
2014,Winter,NOR,Norway,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Bronze
1936,Summer,GER,Germany,Rowing,Rowing Men's Coxless Fours,Gold
1988,Summer,SWE,Sweden,Tennis,Tennis Men's Singles,Bronze
1988,Summer,SWE,Sweden,Tennis,Tennis Men's Doubles,Bronze
2010,Winter,GER,Germany,Nordic Combined,Nordic Combined Men's Team,Bronze
1994,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Women's Slalom,Silver
2010,Winter,AUT,Austria,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
2014,Winter,AUT,Austria,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
1924,Summer,USA,United States,Swimming,Swimming Women's 100 metres Freestyle,Bronze
1924,Summer,USA,United States,Swimming,Swimming Women's 400 metres Freestyle,Bronze
2008,Summer,GBR,Great Britain,Cycling,Cycling Men's Keirin,Silver
2014,Winter,SWE,Sweden,Curling,Curling Men's Curling,Bronze
1976,Summer,SWE,Sweden,Fencing,"Fencing Men's epee, Team",Gold
2000,Summer,SWE,Sweden,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
2012,Summer,AUS,Australia,Cycling,Cycling Women's Omnium,Bronze
1956,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Bronze
1956,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
1960,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Gold
1920,Summer,GBR,Great Britain,Athletics,Athletics Men's 100 metres,Bronze
1920,Summer,GBR,Great Britain,Athletics,Athletics Men's 200 metres,Bronze
1996,Summer,AUS,Australia,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
1996,Summer,GBR,Great Britain,Athletics,Athletics Men's Triple Jump,Silver
2000,Summer,GBR,Great Britain,Athletics,Athletics Men's Triple Jump,Gold
1956,Summer,GBR,Great Britain,Swimming,Swimming Women's 100 metres Backstroke,Bronze
1984,Summer,JAM,Jamaica,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
1932,Summer,CAN,Canada,Athletics,Athletics Men's 800 metres,Bronze
1932,Summer,CAN,Canada,Athletics,"Athletics Men's 1,500 metres",Bronze
1936,Summer,CAN,Canada,Athletics,Athletics Men's 800 metres,Bronze
2000,Summer,USA,United States,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
1928,Summer,TCH,Czechoslovakia,Gymnastics,Gymnastics Men's Team All-Around,Silver
2000,Summer,JPN,Japan,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
1984,Summer,JPN,Japan,Volleyball,Volleyball Women's Volleyball,Bronze
1904,Summer,USA,United States,Golf,Golf Men's Individual,Silver
2008,Summer,IRL,Ireland,Boxing,Boxing Men's Light-Heavyweight,Silver
1984,Summer,NGR,Nigeria,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1992,Winter,GER,Germany-2,Bobsleigh,Bobsleigh Men's Two,Bronze
1988,Summer,HUN,Hungary,Swimming,Swimming Women's 100 metres Backstroke,Silver
1988,Summer,HUN,Hungary,Swimming,Swimming Women's 200 metres Backstroke,Gold
1992,Summer,HUN,Hungary,Swimming,Swimming Women's 100 metres Backstroke,Gold
1992,Summer,HUN,Hungary,Swimming,Swimming Women's 200 metres Backstroke,Gold
1992,Summer,HUN,Hungary,Swimming,Swimming Women's 400 metres Individual Medley,Gold
1996,Summer,HUN,Hungary,Swimming,Swimming Women's 200 metres Backstroke,Gold
1996,Summer,HUN,Hungary,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
1976,Summer,HUN,Hungary,Gymnastics,Gymnastics Women's Uneven Bars,Bronze
2002,Winter,SUI,Switzerland,Curling,Curling Men's Curling,Bronze
2010,Winter,SUI,Switzerland,Curling,Curling Men's Curling,Bronze
2008,Summer,GBR,Great Britain,Rowing,Rowing Men's Coxed Eights,Silver
2012,Summer,GBR,Great Britain,Rowing,Rowing Men's Coxed Eights,Bronze
1936,Summer,GER,Germany,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",Gold
1952,Summer,SWE,Sweden,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
1992,Summer,NZL,New Zealand,Sailing,Sailing Women's Two Person Dinghy,Silver
1956,Summer,TUR,Turkey,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze
2016,Summer,JPN,Japan,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
1972,Summer,FRG,West Germany,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1936,Summer,GER,Germany,Art Competitions,"Art Competitions Mixed Literature, Epic Works",Silver
1996,Summer,GER,Germany-1,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
1972,Summer,GDR,East Germany,Athletics,Athletics Women's 100 metres Hurdles,Gold
1972,Winter,GDR,East Germany,Luge,Luge Men's Singles,Silver
1972,Summer,FRG,West Germany,Rowing,Rowing Men's Coxless Fours,Bronze
1976,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 3,000 metres",Silver
1984,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 1,000 metres",Silver
1984,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 1,500 metres",Silver
1984,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 3,000 metres",Gold
1988,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 1,500 metres",Bronze
1988,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 3,000 metres",Silver
1988,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 5,000 metres",Silver
1932,Summer,GER,Germany,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
1936,Summer,GER,Germany,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
1972,Summer,GDR,East Germany,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
1936,Summer,GER,Germany,Rowing,Rowing Men's Coxless Pairs,Gold
1972,Summer,GDR,East Germany,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
1988,Summer,GDR,East Germany,Rowing,Rowing Men's Coxed Fours,Gold
1984,Summer,FRG,West Germany,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
1988,Winter,NOR,Norway,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Bronze
1996,Summer,NED,Netherlands,Rowing,Rowing Women's Double Sculls,Bronze
1956,Summer,ISL,Iceland,Athletics,Athletics Men's Triple Jump,Silver
1996,Summer,LTU,Lithuania,Basketball,Basketball Men's Basketball,Bronze
1908,Summer,USA,United States,Athletics,"Athletics Men's 3,200 metres Steeplechase",Bronze
1936,Summer,AUT,Austria,Art Competitions,"Art Competitions Mixed Painting, Paintings",Silver
1924,Summer,SWE,Sweden,Shooting,"Shooting Men's Running Target, Double Shot, Team",Bronze
1936,Summer,SWE,May Be,Sailing,Sailing Mixed 6 metres,Bronze
1912,Summer,SWE,Sweden,Athletics,"Athletics Men's Cross-Country, Individual",Bronze
1920,Summer,SWE,Sweden,Athletics,Athletics Men's High Jump,Bronze
1912,Summer,FIN,Finland,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
1960,Summer,FIN,Finland,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
1924,Summer,FIN,Finland,Shooting,"Shooting Men's Trap, Team",Bronze
2008,Summer,SWE,Sweden,Sailing,Sailing Men's Two Person Keelboat,Bronze
2000,Summer,MAR,Morocco,Athletics,"Athletics Men's 1,500 metres",Silver
2004,Summer,MAR,Morocco,Athletics,"Athletics Men's 1,500 metres",Gold
2004,Summer,MAR,Morocco,Athletics,"Athletics Men's 5,000 metres",Gold
1928,Summer,FRA,France,Athletics,Athletics Men's Marathon,Gold
1992,Summer,MAR,Morocco,Athletics,"Athletics Men's 1,500 metres",Silver
1960,Summer,UAR,United Arab Republic,Boxing,Boxing Men's Flyweight,Bronze
1984,Summer,MAR,Morocco,Athletics,Athletics Women's 400 metres Hurdles,Gold
2004,Summer,EGY,Egypt,Boxing,Boxing Men's Heavyweight,Bronze
1960,Summer,UAR,United Arab Republic,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
1936,Summer,EGY,Egypt,Weightlifting,Weightlifting Men's Middleweight,Gold
1984,Summer,SWE,Sweden,Athletics,Athletics Men's Javelin Throw,Bronze
1956,Summer,CAN,Canada,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
1936,Summer,HUN,Hungary,Fencing,"Fencing Women's Foil, Individual",Gold
1948,Summer,HUN,Hungary,Fencing,"Fencing Women's Foil, Individual",Gold
1952,Summer,HUN,Hungary,Fencing,"Fencing Women's Foil, Individual",Silver
1924,Summer,GBR,Great Britain,Rowing,Rowing Men's Coxless Fours,Gold
2016,Summer,RUS,Russia,Sailing,Sailing Women's Windsurfer,Bronze
2000,Summer,BRA,Brazil,Volleyball,Volleyball Women's Volleyball,Bronze
1968,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
1968,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
2008,Summer,USA,United States,Shooting,Shooting Men's Double Trap,Gold
1932,Summer,GER,Germany,Rowing,Rowing Men's Coxed Fours,Gold
1908,Summer,GBR,Great Britain,Shooting,"Shooting Men's Running Target, Single Shot, Team",Silver
1920,Summer,NOR,Norway,Rowing,Rowing Men's Coxed Eights,Bronze
1896,Summer,GBR,Great Britain,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Gold
1896,Summer,GBR,Great Britain,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Silver
1960,Summer,AUS,Australia,Athletics,"Athletics Men's 1,500 metres",Gold
1924,Summer,GBR,Great Britain,Boxing,Boxing Men's Middleweight,Silver
1988,Summer,GBR,Great Britain,Athletics,"Athletics Men's 1,500 metres",Silver
1964,Summer,USA,United States,Swimming,Swimming Women's 100 metres Freestyle,Bronze
1964,Summer,USA,United States,Swimming,Swimming Women's 100 metres Butterfly,Bronze
1964,Summer,USA,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
2016,Summer,GBR,Great Britain,Badminton,Badminton Men's Doubles,Bronze
1988,Summer,USA,United States,Boxing,Boxing Men's Lightweight,Bronze
2016,Summer,USA,United States,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
2012,Summer,USA,United States,Archery,Archery Men's Team,Silver
2016,Summer,USA,United States,Archery,Archery Men's Individual,Bronze
2016,Summer,USA,United States,Archery,Archery Men's Team,Silver
1960,Summer,IRI,Iran,Weightlifting,Weightlifting Men's Bantamweight,Bronze
2016,Summer,USA,United States,Rowing,Rowing Women's Coxed Eights,Gold
1948,Summer,SWE,Sweden,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
2002,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit,Bronze
1992,Winter,FIN,Finland,Biathlon,Biathlon Men's 10 kilometres Sprint,Bronze
1948,Summer,USA,United States,Diving,Diving Women's Springboard,Bronze
1948,Summer,USA,United States,Diving,Diving Women's Platform,Silver
1920,Summer,FRA,France,Boxing,Boxing Men's Heavyweight,Bronze
1948,Summer,DEN,Denmark,Sailing,Sailing Mixed One Person Dinghy,Gold
1952,Summer,DEN,Denmark,Sailing,Sailing Mixed One Person Dinghy,Gold
1956,Summer,DEN,Denmark,Sailing,Sailing Mixed One Person Dinghy,Gold
1960,Summer,DEN,Denmark,Sailing,Sailing Mixed One Person Dinghy,Gold
2012,Summer,FRA,France,Judo,Judo Women's Half-Middleweight,Bronze
2004,Summer,BRA,Brazil-1,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
2008,Summer,BRA,Brazil-2,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
1994,Winter,GER,Germany-1,Bobsleigh,Bobsleigh Men's Four,Bronze
2002,Winter,GER,Germany-2,Bobsleigh,Bobsleigh Men's Four,Gold
1984,Summer,USA,United States,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
1980,Summer,URS,Soviet Union,Diving,Diving Women's Platform,Silver
1904,Summer,USA,United States,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",Gold
2004,Summer,USA,United States,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
2008,Summer,USA,United States,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
2012,Summer,USA,United States,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
2004,Summer,GBR,Great Britain-1,Badminton,Badminton Mixed Doubles,Silver
2008,Summer,JPN,Japan,Softball,Softball Women's Softball,Gold
1996,Summer,JPN,Japan,Judo,Judo Women's Half-Middleweight,Gold
1924,Summer,USA,United States,Athletics,Athletics Men's 800 metres,Bronze
1972,Summer,GDR,East Germany,Swimming,Swimming Women's 200 metres Individual Medley,Silver
1976,Summer,GDR,East Germany,Swimming,Swimming Women's 100 metres Freestyle,Gold
1976,Summer,GDR,East Germany,Swimming,Swimming Women's 200 metres Freestyle,Gold
1976,Summer,GDR,East Germany,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
1976,Summer,GDR,East Germany,Swimming,Swimming Women's 100 metres Butterfly,Gold
1964,Winter,GER,Germany,Luge,Luge Women's Singles,Gold
2008,Summer,GER,Germany,Cycling,Cycling Men's Team Sprint,Bronze
2012,Summer,GER,Germany,Cycling,Cycling Men's Team Sprint,Bronze
1976,Summer,JPN,Japan,Judo,Judo Men's Heavyweight,Bronze
1964,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Individual All-Around,Gold
1964,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Gold
1964,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Floor Exercise,Silver
1964,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Parallel Bars,Gold
1968,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Gold
1968,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Horse Vault,Silver
2008,Summer,EST,Estonia,Rowing,Rowing Men's Double Sculls,Silver
2016,Summer,EST,Estonia,Rowing,Rowing Men's Quadruple Sculls,Bronze
1948,Winter,SUI,Switzerland-2,Bobsleigh,Bobsleigh Men's Two,Gold
1952,Summer,USA,Llanoria,Sailing,Sailing Mixed 6 metres,Gold
1932,Summer,HUN,Hungary,Boxing,Boxing Men's Flyweight,Gold
2004,Summer,INA,Indonesia-1,Badminton,Badminton Men's Doubles,Bronze
1964,Winter,NOR,Norway,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Silver
1964,Winter,NOR,Norway,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold
1920,Summer,SWE,Sweden,Athletics,Athletics Men's 400 metres,Bronze
1928,Summer,GER,Germany,Athletics,Athletics Men's 800 metres,Bronze
1928,Summer,GER,Germany,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
1904,Summer,USA,United States,Athletics,Athletics Men's Triple Jump,Silver
1984,Winter,NOR,Norway,Speed Skating,"Speed Skating Men's 1,000 metres",Bronze
1956,Summer,URS,Soviet Union,Boxing,Boxing Men's Light-Welterweight,Gold
1908,Summer,BEL,Belgium,Shooting,"Shooting Men's Free Pistol, 50 yards, Team",Silver
2008,Summer,GER,Germany,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
1936,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Bronze
1980,Winter,GDR,East Germany,Speed Skating,Speed Skating Women's 500 metres,Gold
1984,Winter,GDR,East Germany,Speed Skating,Speed Skating Women's 500 metres,Silver
1984,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 1,000 metres",Gold
1984,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 1,500 metres",Gold
1984,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 3,000 metres",Silver
1988,Winter,GDR,East Germany,Speed Skating,Speed Skating Women's 500 metres,Bronze
1988,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 1,000 metres",Silver
1988,Winter,GDR,East Germany,Speed Skating,"Speed Skating Women's 1,500 metres",Silver
2008,Summer,MGL,Mongolia,Boxing,Boxing Men's Bantamweight,Gold
1980,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
2012,Summer,GBR,Great Britain,Athletics,Athletics Women's Heptathlon,Gold
2016,Summer,GBR,Great Britain,Athletics,Athletics Women's Heptathlon,Silver
1984,Summer,USA,United States,Rowing,Rowing Men's Double Sculls,Gold
2010,Winter,CAN,Canada,Curling,Curling Men's Curling,Gold
2008,Summer,FRA,France,Taekwondo,Taekwondo Women's Welterweight,Bronze
1980,Winter,FRG,West Germany,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Silver
2000,Summer,HUN,Hungary,Boxing,Boxing Men's Middleweight,Bronze
1956,Summer,URS,Soviet Union,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Silver
1992,Winter,GER,Germany,Luge,Luge Women's Singles,Bronze
1994,Winter,GER,Germany,Luge,Luge Women's Singles,Silver
2002,Winter,GER,Germany-2,Bobsleigh,Bobsleigh Women's Two,Bronze
1996,Summer,HUN,Hungary,Handball,Handball Women's Handball,Bronze
1972,Summer,HUN,Hungary,Fencing,"Fencing Men's epee, Team",Gold
2004,Summer,ROU,Romania,Gymnastics,Gymnastics Women's Balance Beam,Bronze
1932,Summer,USA,United States,Gymnastics,Gymnastics Men's Club Swinging,Silver
1988,Summer,KEN,Kenya,Athletics,Athletics Men's 800 metres,Gold
1984,Summer,FRG,West Germany,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
2012,Summer,DEN,Denmark,Rowing,Rowing Women's Single Sculls,Silver
1920,Summer,NOR,Marmi II-1,Sailing,Sailing Mixed 6 metres,Silver
1904,Summer,NOR,Norway,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
1912,Summer,SWE,Kitty-1,Sailing,Sailing Mixed 10 metres,Gold
1948,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Silver
1912,Summer,SWE,Sweden,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",Bronze
1920,Summer,SWE,Sweden,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Bronze
1956,Winter,SWE,Sweden,Speed Skating,"Speed Skating Men's 5,000 metres",Silver
1956,Winter,SWE,Sweden,Speed Skating,"Speed Skating Men's 10,000 metres",Gold
1948,Summer,NOR,Norway,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
1984,Summer,DEN,Denmark,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
1968,Winter,NOR,Norway,Speed Skating,"Speed Skating Men's 1,500 metres",Silver
2004,Summer,DEN,Denmark-2,Badminton,Badminton Mixed Doubles,Bronze
1920,Summer,DEN,Denmark,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
1952,Winter,NOR,Norway,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
1952,Winter,NOR,Norway,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
1980,Summer,SWE,Sweden,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
1956,Winter,SWE,Sweden,Nordic Combined,Nordic Combined Men's Individual,Silver
1948,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,Bronze
1948,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
1948,Summer,SWE,Sweden,Athletics,"Athletics Men's 1,500 metres",Gold
1988,Winter,SWE,Sweden,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
1920,Summer,SWE,Sweden,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres",Silver
1920,Summer,SWE,Sweden,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Silver
1936,Winter,SWE,Sweden,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Silver
1936,Summer,TUR,Turkey,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
1996,Summer,FRA,France,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
1906,Summer,HUN,Hungary,Gymnastics,Gymnastics Men's Rope Climbing,Silver
2004,Summer,TUR,Turkey,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
1976,Winter,GDR,East Germany,Figure Skating,Figure Skating Women's Singles,Bronze
2012,Summer,ITA,Italy,Fencing,"Fencing Women's Foil, Individual",Silver
1994,Winter,GER,Germany,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Silver
1998,Winter,GER,Germany,Alpine Skiing,Alpine Skiing Women's Combined,Silver
2002,Winter,GER,Germany,Alpine Skiing,Alpine Skiing Women's Combined,Bronze
2000,Summer,USA,United States,Swimming,Swimming Men's 50 metres Freestyle,Gold
2016,Summer,USA,United States,Swimming,Swimming Men's 50 metres Freestyle,Gold
1900,Summer,MEX,A North American Team,Polo,Polo Men's Polo,Bronze
1964,Summer,GER,Germany,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
2004,Summer,ESP,Spain,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
2004,Summer,ESP,Spain,Cycling,Cycling Men's Keirin,Silver
1960,Summer,GRE,Nirefs,Sailing,Sailing Mixed Three Person Keelboat,Gold
1912,Summer,FIN,Finland,Athletics,"Athletics Men's Cross-Country, Team",Silver
2000,Summer,ESP,Spain,Taekwondo,Taekwondo Men's Flyweight,Silver
2012,Summer,USA,United States,Boxing,Boxing Women's Flyweight,Bronze
1984,Summer,USA,United States,Rowing,Rowing Men's Coxed Pairs,Bronze
2012,Summer,PUR,Puerto Rico,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
1996,Summer,ARG,Argentina,Sailing,Sailing Men's Windsurfer,Silver
2000,Summer,ARG,Argentina,Sailing,Sailing Men's Windsurfer,Silver
2004,Summer,ARG,Argentina,Sailing,Sailing Mixed Multihull,Bronze
2008,Summer,ARG,Argentina,Sailing,Sailing Mixed Multihull,Bronze
2008,Summer,MEX,Mexico,Diving,Diving Women's Synchronized Platform,Bronze
2012,Summer,MEX,Mexico,Diving,Diving Women's Synchronized Platform,Silver
2008,Summer,MEX,Mexico,Taekwondo,Taekwondo Women's Heavyweight,Gold
2012,Summer,MEX,Mexico,Taekwondo,Taekwondo Women's Heavyweight,Bronze
2016,Summer,MEX,Mexico,Taekwondo,Taekwondo Women's Heavyweight,Silver
2016,Summer,AUS,Australia,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold
1992,Summer,FRA,France,Swimming,Swimming Men's 200 metres Butterfly,Bronze
1964,Summer,GER,Germany,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
1968,Summer,FRG,West Germany,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
1996,Summer,FRA,France,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Bronze
2000,Summer,FRA,France,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
2004,Summer,FRA,France,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
2012,Summer,FRA,France,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
1976,Summer,ESP,Spain,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1952,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Bronze
2002,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Silver
2006,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,Silver
1952,Summer,RSA,South Africa,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
2000,Summer,MEX,Mexico,Taekwondo,Taekwondo Men's Welterweight,Bronze
1924,Summer,USA,United States,Shooting,"Shooting Men's Trap, Team",Gold
1984,Summer,JPN,Japan,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver
1984,Summer,USA,United States,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
1952,Summer,SUI,Switzerland,Gymnastics,Gymnastics Men's Team All-Around,Silver
1952,Summer,SUI,Switzerland,Gymnastics,Gymnastics Men's Parallel Bars,Gold
1952,Summer,SUI,Switzerland,Gymnastics,Gymnastics Men's Rings,Bronze
2012,Summer,SWE,Sweden,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
1984,Summer,ITA,Italy,Athletics,Athletics Men's Long Jump,Bronze
2014,Winter,USA,United States-2,Bobsleigh,Bobsleigh Women's Two,Bronze
1976,Summer,CAN,Canada,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
1976,Summer,USA,United States,Athletics,Athletics Men's 200 metres,Bronze
2012,Summer,GBR,Great Britain,Boxing,Boxing Men's Welterweight,Silver
