year,season,gender,sport,discipline,name,noc,team,height,weight,medal
1924,Summer,Men,Equestrianism,"Three-Day Event, Team",Gerard Pieter de Kruijff,NED,Netherlands,,,Gold
1928,Summer,Men,Equestrianism,"Three-Day Event, Individual",Gerard Pieter de Kruijff,NED,Netherlands,,,Silver
1928,Summer,Men,Equestrianism,"Three-Day Event, Team",Gerard Pieter de Kruijff,NED,Netherlands,,,Gold
1920,Summer,Men,Sailing,8 metres,"Guillaume Marie Denis ""Willy"" De L'Arbre",BEL,Antwerpia V,,,Bronze
1900,Summer,Men,Tennis,Doubles,Luc Henri Herv Guy Gardye de la Chapelle,FRA,France-1,,,Bronze
1984,Summer,Men,Basketball,Basketball,Juan Domingo de la Cruz Fermanelli,ESP,Spain,205.0,89.0,Silver
1900,Summer,Men,Fencing,"Sabre, Individual",Louis Verrant Gabriel Le Bailly de la Falaise,FRA,France,,,Gold
1906,Summer,Men,Fencing,"epee, Individual",Louis Verrant Gabriel Le Bailly de la Falaise,FRA,France,,,Gold
1906,Summer,Men,Fencing,"epee, Team",Louis Verrant Gabriel Le Bailly de la Falaise,FRA,France,,,Gold
2000,Summer,Men,Sailing,Two Person Dinghy,Juan Mara de la Fuente,ARG,Argentina,181.0,74.0,Bronze
2012,Summer,Men,Sailing,Two Person Dinghy,Juan Mara de la Fuente,ARG,Argentina,181.0,74.0,Bronze
1988,Summer,Women,Volleyball,Volleyball,Alejandra de la Guerra,PER,Peru,173.0,59.0,Silver
1992,Summer,Men,Boxing,Lightweight,Oscar De La Hoya,USA,United States,180.0,60.0,Gold
1928,Summer,Men,Sailing,8 metres,Carl Marie Paul Blanchet de la Sablire,FRA,L'Aile VI,,,Gold
1936,Summer,Men,Basketball,Basketball,Luis Ignacio de la Vega Leija,MEX,Mexico,,,Bronze
1948,Summer,Men,Cycling,"Road Race, Team",Leon De Lathouwer (-Hoogewijs),BEL,Belgium,,,Gold
1920,Summer,Men,Modern Pentathlon,Individual,Erik Patrick Honor de Laval,SWE,Sweden,,,Silver
1912,Summer,Men,Modern Pentathlon,Individual,Patrik Georg Fabian de Laval,SWE,Sweden,,,Bronze
1912,Summer,Men,Shooting,"Free Pistol, 50 metres, Team",Patrik Georg Fabian de Laval,SWE,Sweden,,,Silver
2006,Winter,Men,Snowboarding,Boardercross,Paul-Henri Philippe Emmanuel De Le Rue,FRA,France,176.0,82.0,Bronze
1976,Winter,Women,Figure Skating,Singles,Dianne Margaret de Leeuw,NED,Netherlands,165.0,57.0,Silver
1928,Summer,Women,Gymnastics,Team All-Around,Elka de Levie (-Boas),NED,Netherlands,,,Gold
2004,Summer,Men,Athletics,Marathon,Vanderlei Cordeiro de Lima,BRA,Brazil,168.0,54.0,Bronze
2000,Summer,Men,Athletics,4 x 100 metres Relay,Vicente Lenlson de Lima,BRA,Brazil,166.0,66.0,Silver
2008,Summer,Men,Athletics,4 x 100 metres Relay,Vicente Lenlson de Lima,BRA,Brazil,166.0,66.0,Bronze
1936,Summer,Men,Hockey,Hockey,"Hendrik Christiaan ""Henk"" de Looper",NED,Netherlands,,,Bronze
1936,Summer,Men,Hockey,Hockey,Jan de Looper,NED,Netherlands,,,Bronze
1924,Summer,Men,Fencing,"Foil, Team",Guy Julien Ernest Delage de Luget,FRA,France,,,Gold
1984,Summer,Men,Volleyball,Volleyball,Guido De Luigi,ITA,Italy,194.0,82.0,Bronze
1900,Summer,Men,Polo,Polo,Jean Pierre Marie Joseph  De Madre De Loos,FRA,"BLO Polo Club, Rugby",,,Silver
1976,Summer,Men,Water Polo,Water Polo,Gianni De Magistris,ITA,Italy,185.0,82.0,Silver
1976,Summer,Men,Water Polo,Water Polo,Riccardo De Magistris,ITA,Italy,190.0,84.0,Silver
1936,Summer,Men,Sailing,8 metres,Luigi De Manincor,ITA,Italia,,,Gold
1924,Summer,Men,Cycling,"Team Pursuit, 4,000 metres",Angelo De Martini,ITA,Italy,,,Gold
1920,Summer,Men,Archery,"Target Archery, 28 metres, Team",Jrme De Mayer,BEL,Belgium,,,Silver
1920,Summer,Men,Archery,"Target Archery, 33 metres, Team",Jrme De Mayer,BEL,Belgium,,,Gold
1920,Summer,Men,Archery,"Target Archery, 50 metres, Team",Jrme De Mayer,BEL,Belgium,,,Gold
1924,Summer,Men,Equestrianism,"Jumping, Team",Lus Jos Braamcamp Cardoso  de Meneses Margaride,POR,Portugal,,,Bronze
1932,Summer,Men,Rowing,Double Sculls,Nol James de Mille,CAN,Canada,,,Bronze
1900,Summer,Men,Equestrianism,Hacks And Hunter Combined,Robert de Montesquiou-Fzensac,FRA,France,,,Bronze
1906,Summer,Men,Fencing,"epee, Team",Fernand Alphonse Marie Frdric de Montigny,BEL,Belgium,,,Bronze
1908,Summer,Men,Fencing,"epee, Team",Fernand Alphonse Marie Frdric de Montigny,BEL,Belgium,,,Bronze
1920,Summer,Men,Hockey,Hockey,Fernand Alphonse Marie Frdric de Montigny,BEL,Belgium,,,Bronze
1924,Summer,Men,Fencing,"Foil, Team",Fernand Alphonse Marie Frdric de Montigny,BEL,Belgium,,,Silver
1924,Summer,Men,Fencing,"epee, Team",Fernand Alphonse Marie Frdric de Montigny,BEL,Belgium,,,Silver
1924,Summer,Men,Tennis,Singles,Umberto Luigi De Morpurgo,ITA,Italy,,,Bronze
1920,Summer,Men,Football,Football,"Johannes Daniel ""Jan"" de Natris",NED,Netherlands,,,Bronze
1900,Summer,Men,Equestrianism,Four-In-Hand Competition,Jean Frdric Andr Poupart de Neuflize,FRA,France-1,,,Bronze
1996,Summer,Men,Hockey,Hockey,Teun Floris de Nooijer,NED,Netherlands,184.0,79.0,Gold
2000,Summer,Men,Hockey,Hockey,Teun Floris de Nooijer,NED,Netherlands,184.0,79.0,Gold
2004,Summer,Men,Hockey,Hockey,Teun Floris de Nooijer,NED,Netherlands,184.0,79.0,Silver
2012,Summer,Men,Hockey,Hockey,Teun Floris de Nooijer,NED,Netherlands,184.0,79.0,Silver
1928,Summer,Men,Fencing,"epee, Team",Mrio de Lopez da Vasa Csar Alves de Noronha,POR,Portugal,,,Bronze
1976,Summer,Men,Athletics,Triple Jump,Joo Carlos de Oliveira,BRA,Brazil,186.0,76.0,Bronze
1980,Summer,Men,Athletics,Triple Jump,Joo Carlos de Oliveira,BRA,Brazil,186.0,76.0,Bronze
1968,Summer,Men,Boxing,Flyweight,Servilio Sebastio de Oliveira,BRA,Brazil,160.0,51.0,Bronze
1928,Summer,Men,Fencing,"epee, Team",Jorge de Paiva,POR,Portugal,,,Bronze
1988,Summer,Men,Volleyball,Volleyball,Jos Esteban De Palma,ARG,Argentina,196.0,90.0,Bronze
1968,Winter,Men,Bobsleigh,Two,Luciano De Paolis,ITA,Italy-1,176.0,82.0,Gold
1968,Winter,Men,Bobsleigh,Four,Luciano De Paolis,ITA,Italy-1,176.0,82.0,Gold
1936,Summer,Men,Water Polo,Water Polo,Henri De Pauw,BEL,Belgium,,,Bronze
1980,Summer,Men,Hockey,Hockey,Miguel de Paz Pl,ESP,Spain,176.0,70.0,Silver
1964,Summer,Men,Rowing,Coxed Fours,Franco De Pedrina,ITA,Italy,184.0,83.0,Silver
1960,Summer,Men,Boxing,Heavyweight,"Francesco ""Franco"" De Piccoli",ITA,Italy,186.0,96.0,Gold
1900,Summer,Men,Sailing,1-2 Ton,Bernard Alexandre Georges Edmond de Pourtals,SUI,Lerina,,,Gold
1900,Summer,Men,Sailing,1-2 Ton,Bernard Alexandre Georges Edmond de Pourtals,SUI,Lerina,,,Silver
1900,Summer,Women,Sailing,1-2 Ton,Hlne de Pourtals (Barbey-),SUI,Lerina,,,Gold
1900,Summer,Women,Sailing,1-2 Ton,Hlne de Pourtals (Barbey-),SUI,Lerina,,,Silver
1900,Summer,Men,Sailing,1-2 Ton,Hermann Alexandre de Pourtals,SUI,Lerina,,,Gold
1900,Summer,Men,Sailing,1-2 Ton,Hermann Alexandre de Pourtals,SUI,Lerina,,,Silver
1928,Summer,Men,Football,Football,Giovanni Luigi Cecilio De Pr,ITA,Italy,,,Bronze
1900,Summer,Men,Equestrianism,Long Jump,de Prunel,FRA,France,,,Bronze
1908,Summer,Men,Wrestling,"Lightweight, Freestyle",George Frederick William de Relwyskow,GBR,Great Britain,174.0,65.0,Gold
1908,Summer,Men,Wrestling,"Middleweight, Freestyle",George Frederick William de Relwyskow,GBR,Great Britain,174.0,65.0,Silver
2004,Summer,Women,Hockey,Hockey,Lisanne Freya de Roever,NED,Netherlands,172.0,58.0,Silver
2008,Summer,Women,Hockey,Hockey,Lisanne Freya de Roever,NED,Netherlands,172.0,58.0,Gold
1924,Summer,Men,Fencing,"Foil, Team",Albert Louis De Roocker,BEL,Belgium,,,Silver
1936,Summer,Men,Hockey,Hockey,"Agathon ""Aat"" de Roos",NED,Netherlands,,,Bronze
2004,Summer,Men,Football,Football,Daniele De Rossi,ITA,Italy,183.0,76.0,Bronze
1952,Summer,Men,Cycling,"Team Pursuit, 4,000 metres",Mino De Rossi,ITA,Italy,,,Gold
1900,Summer,Men,Polo,Polo,douard Alphonse de Rothschild,FRA,"Bagatelle Polo Club, Paris",,,Bronze
1984,Summer,Women,Swimming,100 metres Backstroke,Jolanda de Rover (-Toussaint),NED,Netherlands,185.0,70.0,Bronze
1984,Summer,Women,Swimming,200 metres Backstroke,Jolanda de Rover (-Toussaint),NED,Netherlands,185.0,70.0,Gold
1996,Summer,Women,Hockey,Hockey,Wietske Anniechen de Ruiter,NED,Netherlands,176.0,70.0,Bronze
1920,Summer,Men,Fencing,"Sabre, Team",Henri Marie Raoul Gaillard de Saint Germain,FRA,France,,,Silver
1952,Summer,Men,Water Polo,Water Polo,Renato De Sanzuane,ITA,Italy,,,Bronze
1900,Summer,Men,Rowing,Coxed Eights,Oscar Charles de Somville,BEL,Royal Club Nautique de Gand,,78.0,Silver
1908,Summer,Men,Rowing,Coxed Eights,Oscar Charles de Somville,BEL,Royal Club Nautique de Gand,,78.0,Silver
1948,Summer,Men,Hockey,Hockey,Walter Louis Joseph de Sousa,IND,India,,,Gold
1960,Summer,Men,Sailing,Three Person Keelboat,Giulio De Stefano,ITA,Venilia,178.0,74.0,Bronze
2016,Summer,Women,Rowing,Coxed Eights,Zoe Michaela  de Toledo,GBR,Great Britain,172.0,58.0,Silver
1960,Summer,Women,Swimming,4 x 100 metres Freestyle Relay,Donna Elizabeth de Varona (-Pinto),USA,United States,168.0,61.0,Gold
1964,Summer,Women,Swimming,4 x 100 metres Freestyle Relay,Donna Elizabeth de Varona (-Pinto),USA,United States,168.0,61.0,Gold
1964,Summer,Women,Swimming,400 metres Individual Medley,Donna Elizabeth de Varona (-Pinto),USA,United States,168.0,61.0,Gold
1932,Summer,Men,Fencing,"Sabre, Team",Arturo De Vecchi,ITA,Italy,170.0,,Silver
2012,Summer,Men,Hockey,Hockey,Bob de Voogd,NED,Netherlands,183.0,80.0,Silver
1920,Summer,Men,Cycling,"Tandem Sprint, 2,000 metres","Franciscus ""Frans"" de Vreng",NED,Netherlands,,,Bronze
1992,Summer,Women,Sailing,Windsurfer,Dorien Berendina Lubertha de Vries,NED,Netherlands,178.0,61.0,Bronze
1924,Summer,Men,Athletics,4 x 100 metres Relay,Jan Cornelis de Vries,NED,Netherlands,,,Bronze
1936,Summer,Men,Sailing,Two Person Keelboat,"Willem de Vries Lentsch, Sr.",NED,Bem II,,,Bronze
1928,Summer,Men,Hockey,Hockey,"Reindert Berend Jan ""Rein"" de Waal",NED,Netherlands,,,Silver
1936,Summer,Men,Hockey,Hockey,"Reindert Berend Jan ""Rein"" de Waal",NED,Netherlands,,,Bronze
2016,Summer,Women,Hockey,Hockey,Xan de Waard,NED,Netherlands,163.0,55.0,Silver
2012,Summer,Men,Hockey,Hockey,Sander Sebastiaan de Wijn,NED,Netherlands,183.0,78.0,Silver
2000,Summer,Men,Cycling,Madison,tienne De Wilde,BEL,Belgium,172.0,70.0,Silver
1928,Summer,Men,Sailing,8 metres,Maarten de Wit,NED,Hollandia,,,Silver
1912,Summer,Men,Football,Football,"Nicolaas ""Nico"" de Wolf",NED,Netherlands,,,Bronze
2004,Summer,Men,Hockey,Hockey,Liam Andrew De Young,AUS,Australia,179.0,75.0,Gold
2008,Summer,Men,Hockey,Hockey,Liam Andrew De Young,AUS,Australia,179.0,75.0,Bronze
2012,Summer,Men,Hockey,Hockey,Liam Andrew De Young,AUS,Australia,179.0,75.0,Bronze
1988,Winter,Men,Cross Country Skiing,50 kilometres,Maurilio De Zolt Lisabetta,ITA,Italy,170.0,66.0,Silver
1992,Winter,Men,Cross Country Skiing,50 kilometres,Maurilio De Zolt Lisabetta,ITA,Italy,170.0,66.0,Silver
1994,Winter,Men,Cross Country Skiing,4 x 10 kilometres Relay,Maurilio De Zolt Lisabetta,ITA,Italy,170.0,66.0,Gold
1972,Winter,Men,Bobsleigh,Four,Nevio De Zordo,ITA,Italy-1,173.0,79.0,Silver
1976,Summer,Men,Water Polo,Water Polo,"Pieter Karel ""Piet"" de Zwarte",NED,Netherlands,193.0,100.0,Bronze
1932,Summer,Men,Hockey,Hockey,Amos Rogers Little Deacon,USA,United States,,,Bronze
1936,Winter,Men,Ice Hockey,Ice Hockey,"Maxwell Arnold ""Bill"" Deacon",CAN,Canada,,,Silver
2002,Winter,Men,Ice Hockey,Ice Hockey,Adam Richard Deadmarsh,USA,United States,183.0,89.0,Silver
2004,Summer,Men,Athletics,20 kilometres Walk,Nathan Douglas Deakes,AUS,Australia,183.0,66.0,Bronze
1908,Summer,Men,Athletics,"3 mile, Team","Joseph Edmund ""Joe"" Deakin",GBR,Great Britain,170.0,59.0,Gold
2004,Summer,Men,Rowing,Coxed Eights,Matt Deakin,USA,United States,193.0,90.0,Gold
1996,Summer,Men,Athletics,Hammer Throw,Lance Earl Deal,USA,United States,188.0,116.0,Silver
1920,Summer,Men,Water Polo,Water Polo,"William Henry ""Billy"" Dean",GBR,Great Britain,,,Gold
1984,Winter,Men,Figure Skating,Ice Dancing,Christopher Colin Dean,GBR,Great Britain-1,180.0,73.0,Gold
1994,Winter,Men,Figure Skating,Ice Dancing,Christopher Colin Dean,GBR,Great Britain,180.0,73.0,Bronze
1908,Summer,Men,Rugby,Rugby,Frederick Dean,GBR,Cornwall,,,Silver
1972,Summer,Men,Sailing,Two Person Keelboat,Peter Sweetser Dean,USA,United States,201.0,102.0,Bronze
1972,Summer,Women,Swimming,4 x 100 metres Medley Relay,Deena Diane Deardurff (-Schmidt),USA,United States,160.0,53.0,Gold
1964,Summer,Men,Hockey,Hockey,Paul Robert Dearing,AUS,Australia,175.0,79.0,Bronze
1968,Summer,Men,Hockey,Hockey,Paul Robert Dearing,AUS,Australia,175.0,79.0,Silver
1948,Summer,Men,Rowing,Coxed Eights,Jack Gilroy Dearlove,GBR,Great Britain,,,Silver
1964,Summer,Men,Sailing,Three Person Keelboat,"Richard Burke ""Dick"" Deaver",USA,Aphrodite,180.0,77.0,Bronze
2012,Summer,Men,Hockey,Hockey,Timothy Deavin,AUS,Australia,185.0,77.0,Bronze
1900,Summer,Men,Rowing,Coxed Eights,Harry Leopold DeBaecke,USA,Vesper Boat Club,,,Gold
1988,Winter,Men,Ski Jumping,"Large Hill, Individual",Matja Debelak,YUG,Yugoslavia,181.0,72.0,Bronze
1988,Winter,Men,Ski Jumping,"Large Hill, Team",Matja Debelak,YUG,Yugoslavia,181.0,72.0,Silver
2000,Summer,Men,Wrestling,"Super-Heavyweight, Greco-Roman",Dmitry Vladimirovich Debelka,BLR,Belarus,190.0,130.0,Bronze
1972,Winter,Women,Alpine Skiing,Slalom,Danile Debernard,FRA,France,156.0,48.0,Silver
1976,Winter,Women,Alpine Skiing,Giant Slalom,Danile Debernard,FRA,France,156.0,48.0,Bronze
1976,Winter,Women,Cross Country Skiing,4 x 5 kilometres Relay,Monika Debertshuser (-Heler),GDR,East Germany,165.0,55.0,Bronze
2000,Summer,Men,Shooting,"Small-Bore Rifle, Three Positions, 50 metres",Rajmond Debevec,SLO,Slovenia,182.0,72.0,Gold
2008,Summer,Men,Shooting,"Small-Bore Rifle, Three Positions, 50 metres",Rajmond Debevec,SLO,Slovenia,182.0,72.0,Bronze
2012,Summer,Men,Shooting,"Small-Bore Rifle, Prone, 50 metres",Rajmond Debevec,SLO,Slovenia,182.0,72.0,Bronze
1906,Summer,Men,Cycling,Sprint,douard Eugne Joseph Ghislain Debongnie,BEL,Belgium,,,Bronze
1924,Summer,Men,Water Polo,Water Polo,Albert Paul Deborgies,FRA,France,,,Gold
1956,Summer,Men,Weightlifting,Middle-Heavyweight,Jean Lon Debuf,FRA,France,175.0,85.0,Bronze
1992,Summer,Men,Handball,Handball,Philippe Debureau,FRA,France,195.0,95.0,Bronze
1996,Summer,Men,Swimming,100 metres Breaststroke,"Frdrik Edouard Robert ""Fred"" Deburghgraeve",BEL,Belgium,176.0,61.0,Gold
1948,Summer,Men,Cycling,"Team Pursuit, 4,000 metres",Fernand Julien Decanali,FRA,France,,,Gold
1948,Summer,Men,Art Competitions,"Painting, Graphic Arts",Albert Decaris,FRA,France,,,Gold
1900,Summer,Men,Sailing,10-20 Ton,Jean lie Louis Octave Guillaume Svre Amanieu Decazes et de Glucksbierg,FRA,Quand-Mme-2,,,Silver
1976,Summer,Men,Rowing,Coxless Fours,Andreas Decker,GDR,East Germany,195.0,96.0,Gold
1980,Summer,Men,Rowing,Coxless Fours,Andreas Decker,GDR,East Germany,195.0,96.0,Gold
2014,Winter,Women,Ice Hockey,Ice Hockey,Brianna Decker,USA,United States,163.0,67.0,Silver
1980,Winter,Men,Ski Jumping,"Normal Hill, Individual",Manfred Deckert,GDR,East Germany,186.0,73.0,Silver
2008,Summer,Women,Judo,Half-Middleweight,Lucie Dcosse,FRA,France,168.0,70.0,Silver
2012,Summer,Women,Judo,Middleweight,Lucie Dcosse,FRA,France,168.0,70.0,Gold
1998,Winter,Women,Ice Hockey,Ice Hockey,Sara DeCosta (-Hayes),USA,United States,178.0,59.0,Gold
2002,Winter,Women,Ice Hockey,Ice Hockey,Sara DeCosta (-Hayes),USA,United States,178.0,59.0,Silver
1924,Summer,Men,Weightlifting,Lightweight,Edmond Albert Dcottignies,FRA,France,171.0,66.0,Gold
1906,Summer,Women,Tennis,Doubles,Cornlie Gilberte Marie Dcugis (Flameng-),FRA,France,,,Gold
1900,Summer,Men,Tennis,Doubles,"Maxime Omer Mathieu ""Max"" Omer-Dcugis",FRA,United States/France,,,Silver
1906,Summer,Men,Tennis,Singles,"Maxime Omer Mathieu ""Max"" Omer-Dcugis",FRA,France,,,Gold
1906,Summer,Men,Tennis,Doubles,"Maxime Omer Mathieu ""Max"" Omer-Dcugis",FRA,France,,,Gold
1906,Summer,Men,Tennis,Doubles,"Maxime Omer Mathieu ""Max"" Omer-Dcugis",FRA,France,,,Gold
1920,Summer,Men,Tennis,Doubles,"Maxime Omer Mathieu ""Max"" Omer-Dcugis",FRA,France-3,,,Gold
1920,Summer,Men,Tennis,Doubles,"Maxime Omer Mathieu ""Max"" Omer-Dcugis",FRA,France-3,,,Bronze
1900,Summer,Men,Water Polo,Water Polo,Alphonse Decuyper,FRA,Libellule de Paris,,,Bronze
2000,Summer,Women,Synchronized Swimming,Duet,Virginie Dedieu,FRA,France,164.0,52.0,Bronze
1968,Summer,Men,Basketball,Basketball,"Donald Francis ""Don"" Dee",USA,United States,201.0,93.0,Gold
2012,Summer,Men,Hockey,Hockey,Oskar Deecke,GER,Germany,183.0,78.0,Gold
1992,Summer,Men,Athletics,110 metres Hurdles,"Anthony Michael ""Tony"" Dees",USA,United States,193.0,90.0,Silver
2010,Winter,Men,Alpine Skiing,Downhill,Didier Dfago,SUI,Switzerland,184.0,89.0,Gold
2004,Summer,Women,Athletics,"5,000 metres",Meseret Defar Tola,ETH,Ethiopia,159.0,42.0,Gold
2008,Summer,Women,Athletics,"5,000 metres",Meseret Defar Tola,ETH,Ethiopia,159.0,42.0,Bronze
2012,Summer,Women,Athletics,"5,000 metres",Meseret Defar Tola,ETH,Ethiopia,159.0,42.0,Gold
2000,Summer,Men,Gymnastics,Horse Vault,Gervasio Deferr ngel,ESP,Spain,166.0,69.0,Gold
2004,Summer,Men,Gymnastics,Horse Vault,Gervasio Deferr ngel,ESP,Spain,166.0,69.0,Gold
2008,Summer,Men,Gymnastics,Floor Exercise,Gervasio Deferr ngel,ESP,Spain,166.0,69.0,Silver
1996,Summer,Men,Boxing,Heavyweight,David Dejiro Defiagbon,CAN,Canada,195.0,91.0,Silver
2016,Summer,Women,Sailing,Two Person Dinghy,Hlne Defrance,FRA,France,179.0,66.0,Bronze
1976,Summer,Women,Rowing,Coxed Eights,Anita Lucette DeFrantz,USA,United States,180.0,72.0,Bronze
2002,Winter,Men,Biathlon,4 x 7.5 kilometres Relay,Vincent Franois Marie Defrasne,FRA,France,174.0,63.0,Bronze
2006,Winter,Men,Biathlon,12.5 kilometres Pursuit,Vincent Franois Marie Defrasne,FRA,France,174.0,63.0,Gold
2006,Winter,Men,Biathlon,4 x 7.5 kilometres Relay,Vincent Franois Marie Defrasne,FRA,France,174.0,63.0,Bronze
2008,Summer,Men,Boxing,Middleweight,James Frederick DeGale,GBR,Great Britain,183.0,76.0,Gold
1932,Summer,Men,Diving,Springboard,"Richard Kempster ""Dick"" Degener",USA,United States,,,Bronze
1936,Summer,Men,Diving,Springboard,"Richard Kempster ""Dick"" Degener",USA,United States,,,Gold
1908,Summer,Men,Gymnastics,Team All-Around,Rudolf Reinhold Degermark,SWE,Sweden,,,Gold
1924,Summer,Men,Wrestling,"Heavyweight, Greco-Roman",Jean Henri Deglane,FRA,France,,,Gold
1924,Summer,Men,Sailing,6 metres,Knud Oluf Jessen Degn,DEN,Bonzo,,,Silver
1924,Summer,Men,Rugby,Rugby,Dudley Sargent DeGroot,USA,United States,189.0,,Gold
1976,Summer,Men,Canoeing,"Kayak Fours, 1,000 metres",Aleksandr Vladimirovich Degtyaryov,URS,Soviet Union,185.0,83.0,Gold
1912,Summer,Men,Rowing,Coxed Eights,Bruno Werner Karl Dehn,GER,Berliner Ruderverein von 1876-2,,,Bronze
1920,Summer,Men,Gymnastics,"Team All-Around, Swedish System",Lucien Dehoux,BEL,Belgium,,,Bronze
2000,Summer,Men,Rowing,Coxless Fours,Riccardo Dei Rossi,ITA,Italy,191.0,90.0,Silver
2014,Winter,Men,Snowboarding,Boardercross,Alex Deibold,USA,United States,185.0,86.0,Bronze
1984,Summer,Women,Hockey,Hockey,Beate Deininger,FRG,West Germany,166.0,54.0,Silver
2000,Summer,Women,Hockey,Hockey,Julie Bndicte Deiters,NED,Netherlands,165.0,60.0,Bronze
1936,Summer,Women,Gymnastics,Team All-Around,Vlasta Dkanov,TCH,Czechoslovakia,,,Silver
1906,Summer,Men,Rowing,6-Man Naval Rowing Boats,Nikolaos Dekavalas,GRE,"Life boat naval ship ""Spetsai""-1",,,Silver
1992,Summer,Men,Cycling,"Road Race, Individual","Hendrik ""Erik"" Dekker",NED,Netherlands,182.0,66.0,Silver
2008,Summer,Women,Rowing,Coxed Eights,Femke Pauline Dekker,NED,Netherlands,186.0,70.0,Silver
2004,Summer,Women,Swimming,4 x 100 metres Freestyle Relay,Inge Dekker,NED,Netherlands,183.0,67.0,Bronze
2008,Summer,Women,Swimming,4 x 100 metres Freestyle Relay,Inge Dekker,NED,Netherlands,183.0,67.0,Gold
2012,Summer,Women,Swimming,4 x 100 metres Freestyle Relay,Inge Dekker,NED,Netherlands,183.0,67.0,Silver
2004,Summer,Women,Rowing,Coxed Eights,Hurnet Nicoret Dekkers,NED,Netherlands,193.0,83.0,Bronze
1932,Summer,Men,Rowing,Coxed Eights,Guglielmo Del Bimbo,ITA,Italy,173.0,,Silver
1936,Summer,Men,Rowing,Coxed Eights,Guglielmo Del Bimbo,ITA,Italy,173.0,,Silver
1960,Summer,Men,Hockey,Hockey,Carlos del Coso Iglesias,ESP,Spain,165.0,64.0,Bronze
1976,Summer,Men,Water Polo,Water Polo,Marcello Del Duca,ITA,Italy,181.0,77.0,Silver
2016,Summer,Men,Water Polo,Water Polo,Marco Del Lungo,ITA,Italy,190.0,97.0,Bronze
2004,Summer,Men,Football,Football,Simone Del Nero,ITA,Italy,183.0,77.0,Bronze
2012,Summer,Men,Tennis,Singles,Juan Martn del Potro,ARG,Argentina,198.0,97.0,Bronze
2016,Summer,Men,Tennis,Singles,Juan Martn del Potro,ARG,Argentina,198.0,97.0,Silver
1980,Summer,Men,Canoeing,"Kayak Doubles, 500 metres",Guillermo del Riego Gordn,ESP,Spain,175.0,73.0,Silver
1960,Summer,Men,Sailing,Three Person Keelboat,Jorge Alberto del Ro Slas,ARG,Tango,174.0,86.0,Silver
1956,Summer,Men,Rowing,Coxless Fours,Yves Christian Victor Delacour,FRA,France,,,Bronze
1928,Winter,Men,Ice Hockey,Ice Hockey,"Frederick Charles ""Charlie"" Delahey",CAN,Canada,,,Gold
2008,Summer,Men,Swimming,4 x 100 metres Medley Relay,"Ashley Jason ""Ash"" Delaney",AUS,Australia,185.0,82.0,Silver
1948,Summer,Men,Athletics,Shot Put,"Francis James ""Jim"" Delaney",USA,United States,183.0,93.0,Silver
1984,Summer,Men,Swimming,4 x 100 metres Freestyle Relay,Michael William Delany,AUS,Australia,182.0,84.0,Silver
1956,Summer,Men,Athletics,"1,500 metres","Ronald Michael ""Ronnie"" Delany",IRL,Ireland,184.0,75.0,Gold
1906,Summer,Men,Rowing,Single Sculls,Marcel Carlos Paul Gaston Delaplane (De la Plane-),FRA,France,,,Gold
1906,Summer,Men,Rowing,Coxed Pairs (1 kilometres),Marcel Carlos Paul Gaston Delaplane (De la Plane-),FRA,Socit Nautique de la Basse Seine-1,,,Bronze
1906,Summer,Men,Rowing,Coxed Fours,Marcel Carlos Paul Gaston Delaplane (De la Plane-),FRA,Socit Nautique de la Basse Seine-1,,,Silver
1906,Summer,Men,Rowing,Coxed Pairs (1 kilometres),Charles Delaporte,FRA,Socit Nautique de la Basse Seine-1,,,Bronze
1906,Summer,Men,Rowing,Coxed Fours,Charles Delaporte,FRA,Socit Nautique de la Basse Seine-1,,,Silver
1924,Summer,Men,Boxing,Welterweight,Jean Joseph Delarge,BEL,Belgium,,,Gold
2008,Summer,Women,Canoeing,"Kayak Doubles, 500 metres",Marie Claire Delattre-Demory,FRA,France,172.0,61.0,Bronze
1920,Summer,Men,Fencing,"Sabre, Team",Louis Albert Armand Etienne Delaunoij,NED,Netherlands,,,Bronze
1900,Summer,Men,Football,Football,Albert Delbecque,BEL,Univ. of Brussels,,,Bronze
1924,Summer,Men,Water Polo,Water Polo,Nol Jean Delberghe,FRA,France,,,Gold
1900,Summer,Men,Rowing,Coxed Fours,mile Henri Delchambre,FRA,Cercle de l'Aviron Roubaix-4,,,Gold
1980,Summer,Men,Gymnastics,Individual All-Around,Stoyan Delchev,BUL,Bulgaria,162.0,56.0,Bronze
1980,Summer,Men,Gymnastics,Horizontal Bar,Stoyan Delchev,BUL,Bulgaria,162.0,56.0,Gold
1996,Summer,Women,Rhythmic Gymnastics,Group,Ina Delcheva,BUL,Bulgaria,168.0,44.0,Silver
1920,Summer,Men,Archery,"Target Archery, 28 metres, Team",Louis Delcon,BEL,Belgium,,,Silver
1920,Summer,Men,Archery,"Target Archery, 33 metres, Team",Louis Delcon,BEL,Belgium,,,Gold
1920,Summer,Men,Archery,"Target Archery, 50 metres, Team",Louis Delcon,BEL,Belgium,,,Gold
1984,Summer,Men,Swimming,200 metres Backstroke,Frdric Andr Delcourt,FRA,France,181.0,77.0,Silver
1964,Summer,Men,Athletics,4 x 100 metres Relay,Jocelyn Delecour,FRA,France,175.0,67.0,Bronze
1968,Summer,Men,Athletics,4 x 100 metres Relay,Jocelyn Delecour,FRA,France,175.0,67.0,Bronze
